survey_date,province,lat,lon,rice_ecosystem,rice_stage,rice_variety,rat_damage_%,GA_snail_ea,dead_heart_%,rice_gall_midge_%,white_head_%,rice_bug_%,rice_thrip_%,whorl_maggot_%,rice_hispa_%,leaf_folder,bph_pertiller,wbph_pertiller,zigzag_pertiller,green_leafhopper_pertiller,white_whitefily_pertiller,black_bug_pertiller,bacterial_blight_%,bacterial_leaf_streak_%,brown_spot_%,leaf_blast_%,red_stripe_%,narrow_brown_spot_%,bakanae_%,dirty_panicle_%,false_smut_%,neck_blast_%,sheath_blight_%,sheath_rot_%,hopper_burn_%,gressy_stun_virus_%,ragged_stun_virus_%,orange_leaf_%,weed_infestration_%,dominant_weed_type,dominant_weed_species
2023-03-01,สิงห์บุรี,14.991455,100.35155,นาชลประทาน,แตกกอ,กข85,0,0,0,0,0,0,0,0,0,53.478000000000002,13,0,0,0,0,0,0,0,64.347999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
2023-03-02,สุพรรณบุรี,14.588123100000001,100.103825,นิเวศข้าวกับพืชอื่น,ก่อนเก็บเกี่ยวเกี่ยว,หอมมะลิแดง,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.155000000000001,0,0,0,0,75,0,0,0,0,0,0,0,0,0,NA,NA
2023-03-08,สกลนคร,17.231000000000002,104.21680000000001,นาชลประทาน,แตกกอ,สันป่าตอง1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0299999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
2023-03-08,สกลนคร,17.172505999999998,104.29089,นาชลประทาน,แตกกอ,กข22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.923,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6669999999999998,กก,กก
2023-03-09,นครพนม,17.070677,104.370941,นาชลประทาน,แตกกอ,อีเตี้ย,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
2023-03-09,นครพนม,16.946936999999998,104.528631,นาชลประทาน,แตกกอ,อีเตี้ยแดง,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88200000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
2023-03-09,เชียงราย,19.710902000000001,99.590958000000001,นาชลประทาน,ระยะกล้า,CP888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8960000000000008,0,0,0,0,0,0,0,0,0,0,0,0,0,5,พืชใบเลี้ยงคู่ใบกว้าง,ตาลปัตรฤาษี
2023-03-09,เชียงราย,19.711731,99.591637000000006,นาชลประทาน,ระยะกล้า,สันป่าตอง 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.407999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,5,พืชใบเลี้ยงคู่ใบกว้าง,ผักปอดนา
2023-03-09,เชียงราย,19.606842,99.490457000000006,นาชลประทาน,ระยะกล้า,CP888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.148000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,10,พืชใบเลี้ยงคู่ใบกว้าง,ผักปอดนา
2023-03-09,เชียงราย,19.349247999999999,99.499318000000002,นาชลประทาน,แตกกอ,สันป่าตอง 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.542000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3332999999999999,หญ้า,หญ้าข้าวนก
2023-03-09,เชียงราย,19.310072000000002,99.501679999999993,นาชลประทาน,ระยะกล้า,หอมนาคา,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.774,0,0,0,0,0,0,0,0,0,1.6666700000000001,หญ้า,หญ้าไซ
2023-03-01,นครปฐม,14.092022999999999,100.177137,นาชลประทาน,แตกกอ,กข41,0,0,0,0,0,0,0,0.99,0,0.99,0,0,0,0,0,0,0,0,15.39,0,0.16,0,0,0,0,0,0,0,0,0,0,0,1.66,กก,กกสามเหลี่ยม
2023-03-01,นครปฐม,14.1088959,100.1448276,นาชลประทาน,แตกกอ,กข61,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,15.62,0,0,0,0,0,0,0,0,0,0,0,0,0,45,กก,กกสามเหี่ยม
